GeogName,Population,PopUnder18,PopOver65,MedianAge,PopHispanic,PopNotHisp,PopWhite,PopBlack,PopAsian,PopOTHER,Income0_49,Income_50_99,Income_100_199,Income_200up,EduOther,GardenCounts
Pomonok-Flushing Heights-Hillcrest,36416.0,7603.0,4677.0,36.1,7976.0,28440.0,11988.0,3730.0,11603.0,1119.0,5759.0,3288.0,2141.0,717.0,13321.0,0
Queens Village,54732.0,10417.0,7443.0,39.9,9161.0,45571.0,3499.0,26241.0,9152.0,6679.0,5663.0,4928.0,4293.0,654.0,26145.0,0
Queensboro Hill,21460.0,4039.0,3128.0,39.9,3615.0,17845.0,2985.0,306.0,14198.0,356.0,2622.0,2059.0,1144.0,224.0,10818.0,1
Queensbridge-Ravenswood-Long Island City,18927.0,3527.0,2023.0,35.6,7364.0,11563.0,3181.0,3871.0,3707.0,804.0,5283.0,1593.0,725.0,204.0,9194.0,0
Rego Park,28106.0,4409.0,5377.0,44.3,4896.0,23210.0,12501.0,949.0,9008.0,752.0,5532.0,3420.0,2771.0,537.0,9672.0,1
Richmond Hill,68275.0,15878.0,6496.0,34.4,24995.0,43280.0,6813.0,5333.0,21241.0,9893.0,7187.0,6048.0,3557.0,681.0,32213.0,0
Ridgewood,72964.0,16753.0,6127.0,33.7,35051.0,37913.0,29940.0,1274.0,5810.0,889.0,11058.0,7565.0,4840.0,735.0,33669.0,0
Rosedale,27462.0,6235.0,2862.0,35.7,2316.0,25146.0,1031.0,23124.0,457.0,534.0,1941.0,2561.0,2611.0,506.0,11598.0,0
South Jamaica,41606.0,10899.0,4241.0,33.6,7389.0,34217.0,163.0,27053.0,2781.0,4220.0,6319.0,3477.0,2111.0,259.0,19644.0,4
South Ozone Park,85411.0,18459.0,8906.0,37.0,18821.0,66590.0,4553.0,18923.0,22174.0,20940.0,8873.0,6939.0,5157.0,1136.0,43504.0,1
Springfield Gardens North,27577.0,6037.0,4357.0,39.0,1858.0,25719.0,290.0,24482.0,606.0,341.0,4934.0,3387.0,1975.0,168.0,12474.0,0
Springfield Gardens South-Brookville,21900.0,5334.0,2536.0,34.2,1560.0,20340.0,435.0,18930.0,273.0,702.0,1759.0,2221.0,1707.0,255.0,9734.0,0
St. Albans,54626.0,12614.0,7175.0,38.0,3724.0,50902.0,580.0,47742.0,829.0,1751.0,5328.0,5525.0,4220.0,644.0,24428.0,3
Steinway,48179.0,7053.0,6156.0,35.6,10184.0,37995.0,30027.0,846.0,5986.0,1136.0,7431.0,6283.0,4917.0,1084.0,17350.0,0
Whitestone,31090.0,6293.0,6533.0,43.7,4431.0,26659.0,19142.0,170.0,6570.0,777.0,3240.0,3446.0,3585.0,823.0,12831.0,0
Woodhaven,62821.0,14595.0,6375.0,35.5,33923.0,28898.0,9801.0,2169.0,15003.0,1925.0,6698.0,5758.0,4066.0,802.0,28715.0,0
Woodside,45702.0,8852.0,6341.0,38.1,16065.0,29637.0,10245.0,400.0,18007.0,985.0,7809.0,5132.0,2456.0,625.0,20558.0,0
Annadale-Huguenot-Prince's Bay-Eltingville,28698.0,5927.0,4948.0,42.8,2025.0,26673.0,25446.0,145.0,912.0,170.0,2641.0,2739.0,3404.0,1226.0,12091.0,0
Arden Heights,26482.0,5927.0,3647.0,40.0,3353.0,23129.0,20642.0,394.0,1730.0,363.0,2446.0,2800.0,3138.0,711.0,10741.0,0
Charleston-Richmond Valley-Tottenville,24794.0,6311.0,2844.0,38.1,2392.0,22402.0,20473.0,227.0,1206.0,496.0,2267.0,2433.0,2335.0,1082.0,9371.0,0
Grasmere-Arrochar-Ft. Wadsworth,15896.0,3580.0,2223.0,40.0,2339.0,13557.0,10182.0,951.0,2019.0,405.0,2163.0,1553.0,1568.0,385.0,5868.0,0
Great Kills,43602.0,8877.0,7128.0,42.4,3829.0,39773.0,36834.0,91.0,2422.0,426.0,4000.0,4586.0,5792.0,1139.0,18607.0,0
Grymes Hill-Clifton-Fox Hills,21636.0,5239.0,2479.0,33.5,5959.0,15677.0,6239.0,6602.0,2085.0,751.0,3452.0,2018.0,1638.0,502.0,7841.0,0
Mariner's Harbor-Arlington-Port Ivory-Graniteville,29956.0,7775.0,2956.0,33.1,10374.0,19582.0,6913.0,9054.0,3039.0,576.0,4428.0,3096.0,2220.0,296.0,12360.0,0
New Brighton-Silver Lake,18083.0,4397.0,2365.0,39.4,5219.0,12864.0,9883.0,1754.0,840.0,387.0,2231.0,1516.0,1816.0,573.0,6898.0,0
New Dorp-Midland Beach,21358.0,4621.0,3179.0,40.1,3043.0,18315.0,16380.0,208.0,1582.0,145.0,2646.0,2151.0,2345.0,520.0,9433.0,0
New Springville-Bloomfield-Travis,40907.0,8873.0,6862.0,41.6,5771.0,35136.0,25847.0,2096.0,6211.0,982.0,4500.0,4097.0,3996.0,1161.0,17698.0,0
Oakwood-Oakwood Beach,20618.0,3785.0,4345.0,45.5,2500.0,18118.0,16952.0,544.0,448.0,174.0,2768.0,2197.0,2335.0,687.0,9222.0,0
Old Town-Dongan Hills-South Beach,24927.0,4815.0,3735.0,40.7,3969.0,20958.0,17312.0,1107.0,2118.0,421.0,3415.0,2400.0,2341.0,405.0,11361.0,0
park-cemetery-etc-Staten Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Port Richmond,19141.0,4197.0,2350.0,34.4,6674.0,12467.0,7691.0,2908.0,1203.0,665.0,2795.0,1648.0,1629.0,288.0,9141.0,0
Rossville-Woodrow,21397.0,4811.0,2998.0,40.5,1990.0,19407.0,18050.0,18.0,988.0,351.0,1965.0,2036.0,2591.0,843.0,8492.0,0
Stapleton-Rosebank,26247.0,6092.0,3239.0,36.0,8511.0,17736.0,9594.0,5081.0,2301.0,760.0,4504.0,2529.0,1902.0,382.0,12138.0,0
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,32276.0,6443.0,6052.0,43.8,3323.0,28953.0,22789.0,700.0,4981.0,483.0,3653.0,2990.0,3523.0,1437.0,13072.0,0
West New Brighton-New Brighton-St. George,33175.0,9034.0,3645.0,35.0,10090.0,23085.0,7818.0,11829.0,1914.0,1524.0,6148.0,3070.0,2437.0,419.0,13219.0,3
Westerleigh,24131.0,5124.0,3812.0,40.9,3758.0,20373.0,17293.0,861.0,1580.0,639.0,2822.0,2741.0,2594.0,910.0,9242.0,0
